iter,iter_best_cost,global_best_cost,time_sec,mem_mb
0,1632.3973,1632.3973,0.0351,756.60
5,1512.4256,1492.0866,0.2120,730.43
10,1502.5906,1469.3817,0.3880,760.24
15,1497.4751,1461.2217,0.5642,782.70
20,1494.1644,1456.3393,0.7411,767.04
25,1495.8129,1454.3291,0.9164,711.75
30,1492.5284,1452.2891,1.0916,723.24
35,1482.5742,1448.8869,1.2674,731.21
40,1491.6446,1446.7608,1.4425,667.90
45,1485.0142,1445.7541,1.6175,707.21
50,1485.1772,1443.7566,1.7926,744.98
55,1485.3293,1442.9204,1.9686,713.51
60,1483.0656,1442.7415,2.1437,749.03
65,1486.6097,1441.6479,2.3188,747.43
70,1486.2515,1440.4597,2.4948,779.11
75,1486.8555,1440.1651,2.6703,705.34
80,1484.4923,1439.7847,2.8461,736.54
85,1479.7259,1438.1688,3.0210,697.18
90,1475.9853,1438.1688,3.1962,655.94
95,1487.2183,1437.9565,3.3712,718.52
100,1488.3762,1437.3379,3.5110,663.78
